campaign_id,project_id,project_title,project_url,project_context
26106,370242-48088,Community Subscription Fees Recoup,https://cardano.ideascale.com/a/dtd/Community-Subscription-Fees-Recoup/370242-48088,"Some expenses this past year have been covered by individual members of the community. Discord, Zoom, Miro all have costs associated."
26106,370236-48088,Off to On-Chain Self Governance,https://cardano.ideascale.com/a/dtd/Off-to-On-Chain-Self-Governance/370236-48088,Conflict resolution is difficult without an agreed upon history documented on blockchain.
26106,370220-48088,WADA Uni Students Catalyst Registry,https://cardano.ideascale.com/a/dtd/WADA-Uni-Students-Catalyst-Registry/370220-48088,University students are the future of blockchain tech but they aren't fully engaged in the Project Catalyst program.
26106,370185-48088,NAGchi Cares,https://cardano.ideascale.com/a/dtd/NAGchi-Cares/370185-48088,Defining and creating the conditions for meaningful participation across a global community of never ending epochs is timeless.
26106,370168-48088,WITHDRAWN,https://cardano.ideascale.com/a/dtd/WITHDRAWN/370168-48088,"Vietnamese stakeholders have difficulties to read, understand and evaluate submitted proposals in project Catalyst."
26106,369983-48088,Catalyst 24h Streaming TV Programs,https://cardano.ideascale.com/a/dtd/Catalyst-24h-Streaming-TV-Programs/369983-48088,"How to show new people Catalyst projects success, experience & benefits of involvement? How to entertain & motivate to make proposals?"
26106,369976-48088,WITHDRAW - Management control,https://cardano.ideascale.com/a/dtd/WITHDRAW-Management-control/369976-48088,Introducing automated tools requires access control for using the tools
26106,369963-48088,WITHDRAW - Bot to pin messages,https://cardano.ideascale.com/a/dtd/WITHDRAW-Bot-to-pin-messages/369963-48088,It takes time to maintain and moderate a large Discord channel
26106,369927-48088,The Blockchain Class by Adatruth,https://cardano.ideascale.com/a/dtd/The-Blockchain-Class-by-Adatruth/369927-48088,Newcomers need education to understand the system + recognise scams. Lack of content on real world use cases explaining the vision + basics.
26106,369886-48088,WITHDRAW PLEASE,https://cardano.ideascale.com/a/dtd/WITHDRAW-PLEASE/369886-48088,-
26106,369884-48088,Global Mission Driven News Room,https://cardano.ideascale.com/a/dtd/Global-Mission-Driven-News-Room/369884-48088,"There isn't enough participation + story sharing about SPOs in the Cardano ecosystem, in different languages globally, found in one place."
26106,369862-48088,Tutorchain.io - Catalyst use case,https://cardano.ideascale.com/a/dtd/Tutorchain-io-Catalyst-use-case/369862-48088,Finding an expert or monetizing your expertise requires centralized vetting services that limit your choices and control your access.
26106,369809-48088,Decentralized Catalyst Incubator,https://cardano.ideascale.com/a/dtd/Decentralized-Catalyst-Incubator/369809-48088,What are the best practices for adapting the incubator model to support new Catalyst startup?
26106,369756-48088,80 Multi Language How to ?-podcasts,https://cardano.ideascale.com/a/dtd/80-Multi-Language-How-to-podcasts/369756-48088,"News & education about Cardano & blockchain should be available in native languages. However, The crypto world is English-speaking oriented"
26106,369577-48088,Catalyst Buddies System,https://cardano.ideascale.com/a/dtd/Catalyst-Buddies-System/369577-48088,It takes too long+too many resources to understand when&how to contribute and engage in Catalyst.
26106,369556-48088,Catalyst-Swarm-Genesis GitBook,https://cardano.ideascale.com/a/dtd/Catalyst-Swarm-Genesis-GitBook/369556-48088,"Documentation of Catalyst-Swarm, a self organizing community supporting the success of Project Catalyst, requires support to be sustainable."
26106,369554-48088,Incentivized Voter Survey - AIM,https://cardano.ideascale.com/a/dtd/Incentivized-Voter-Survey-AIM/369554-48088,"Information about how voters interact with Catalyst is not well understood, and there are few initiatives tackling this at the moment."
26106,369537-48088,.,https://cardano.ideascale.com/a/dtd//369537-48088,.
26106,369343-48088,WITHDRAW PLEASE,https://cardano.ideascale.com/a/dtd/WITHDRAW-PLEASE/369343-48088,-
26106,369259-48088,WITHDRAW PLS ( Thx Marek :) ),https://cardano.ideascale.com/a/dtd/WITHDRAW-PLS-Thx-Marek/369259-48088,.
26106,369160-48088,Community Site: Development - AIM,https://cardano.ideascale.com/a/dtd/Community-Site-Development-AIM/369160-48088,"The site helps onboard 1000s of users. New features are requested & ideated, upgrades are required. Bounty system needs further development."
26106,369132-48088,Let's make Live-NFT's with 2500 Art,https://cardano.ideascale.com/a/dtd/Let-s-make-Live-NFT-s-with-2500-Art/369132-48088,Cardano will struggle with adoption by young people without collaboration from established artists and key amplifiers from arts & culture.
26106,369124-48088,Eastern TownHall Team Operation,https://cardano.ideascale.com/a/dtd/Eastern-TownHall-Team-Operation/369124-48088,Participating in Catalyst is difficult when you live in the eastern time zone and your language is not English.
26106,368885-48088,The Catalyst School - Website,https://cardano.ideascale.com/a/dtd/The-Catalyst-School-Website/368885-48088,Education about Catalyst would benefit from a more fluid and tailored experience for new community members to help increase engagement.
26106,368881-48088,The Catalyst School - NFT Rewards,https://cardano.ideascale.com/a/dtd/The-Catalyst-School-NFT-Rewards/368881-48088,Encouraging meaningful participation requires experimenting with different approaches to determine the best way to engage the community.
26106,368865-48088,"Marketing, Marketing, Marketing!",https://cardano.ideascale.com/a/dtd/Marketing-Marketing-Marketing!/368865-48088,The majority of ADA holders eligible to vote either have never voted or never heard of Catalyst.
26106,368486-48088,Animated Explainer Videos-AIM,https://cardano.ideascale.com/a/dtd/Animated-Explainer-Videos-AIM/368486-48088,Many Catalyst concepts are is difficult to understand and hard to explain.
26106,368077-48088,Match members profiles with tasks,https://cardano.ideascale.com/a/dtd/Match-members-profiles-with-tasks/368077-48088,New members wish to support catalysts but it is time-consuming and complex to learn how one can engage
26106,367842-48088,The Catalyst School,https://cardano.ideascale.com/a/dtd/The-Catalyst-School/367842-48088,"Proposers, Advisors, Voters and other Catalyst members still struggle to understand how Catalyst works and how to play their roles."
26106,367120-48088,In-Wallet Onboarding for ADAholders,https://cardano.ideascale.com/a/dtd/In-Wallet-Onboarding-for-ADAholders/367120-48088,"Current wallet software separates utility and education, creating a barrier for people to enter and to trust the crypto space and Cardano."
26106,366912-48088,Catalyst Video Series w/Kaizen,https://cardano.ideascale.com/a/dtd/Catalyst-Video-Series-w-Kaizen/366912-48088,Catalyst has hundreds of proposals being submitted and the average person lacks a simple way to understand the mission behind each project.
26106,366747-48088,Micropayments for Catalyst,https://cardano.ideascale.com/a/dtd/Micropayments-for-Catalyst/366747-48088,A lack of incentives for contributing to Catalyst means that those without the leisure time may be forgoing paid work to participate
26106,366714-48088,Weekly Swarm Sessions,https://cardano.ideascale.com/a/dtd/Weekly-Swarm-Sessions/366714-48088,The Catalyst community needs organized spaces to discuss and brainstorm on current issues and projects
