campaign_id,project_id,project_title,project_url,project_context
26118,370194-48088,AtalaGotchi's Community,https://cardano.ideascale.com/a/dtd/AtalaGotchi-s-Community/370194-48088,"Scaling up community hubs requires more than business and marketing, it requires cultural collectiveness, fun freedom, and laughter."
26118,370162-48088,Cardano Care - Charity Across Conti,https://cardano.ideascale.com/a/dtd/Cardano-Care-Charity-Across-Conti/370162-48088,"Centralized Charity and Donation system all around the world are complicated, not reliable, cost a lot (not 100% received), and takes time."
26118,370061-48088,Cardano Innovation Hub,https://cardano.ideascale.com/a/dtd/Cardano-Innovation-Hub/370061-48088,"Since there is no hub for coordination and space for Cardano enthusiasts to collaborate, it is limiting the growth of Cardano in Ethiopia."
26118,369993-48088,WITHDRAW PLEASE,https://cardano.ideascale.com/a/dtd/WITHDRAW-PLEASE/369993-48088,-
26118,369986-48088,Cardano Vietnam Information Centre,https://cardano.ideascale.com/a/dtd/Cardano-Vietnam-Information-Centre/369986-48088,A survey on Cardano Vietnam community shows that about 90% do not know or incorrectly answer basic knowledge related to Cardano blockchain
26118,369793-48088,1 Cafe to the World,https://cardano.ideascale.com/a/dtd/1-Cafe-to-the-World/369793-48088,"Helping small businesses with improved loyalty, customer engagement and business management expertise."
26118,369785-48088,Cardano Hub Venezuela,https://cardano.ideascale.com/a/dtd/Cardano-Hub-Venezuela/369785-48088,Venezuelan crypto adoption is happening. Now is the time to escalate Cardano's presence and bring ADA into the hands of its citizens.
26118,369779-48088,Regional Revitalization JP-Meetup,https://cardano.ideascale.com/a/dtd/Regional-Revitalization-JP-Meetup/369779-48088,"Deindustrialization (high aging, depopulation, shortage of engineers in local areas) is serious problem for developed country Japan"
26118,369707-48088,BLOCKCHAINTRANSLATION.IO,https://cardano.ideascale.com/a/dtd/BLOCKCHAINTRANSLATION-IO/369707-48088,Translating block chain content takes time. No vocabulary exist in non European languages. Blockchain translators need ways to commercialise
26118,369688-48088,Cardano Learning Centers,https://cardano.ideascale.com/a/dtd/Cardano-Learning-Centers/369688-48088,"In Mexico, many communities lack support an access to the tools and training that can unlock a better future and prepare youth."
26118,369648-48088,BR/US University Hubs!,https://cardano.ideascale.com/a/dtd/BR-US-University-Hubs!/369648-48088,Community hubs need backing from communities. We legitimize the need for blockchain hubs by addressing a problem well-known to city leaders.
26118,369557-48088,ADA giveaway or lottery,https://cardano.ideascale.com/a/dtd/ADA-giveaway-or-lottery/369557-48088,Everyone may not be able to afford to get ADA in large amounts or at all.
26118,369434-48088,Cardano Hub - Eastern Europe,https://cardano.ideascale.com/a/dtd/Cardano-Hub-Eastern-Europe/369434-48088,There are many developers and big economic potential in the Eastern Europe
26118,369273-48088,[Moved] Payment in ADA,https://cardano.ideascale.com/a/dtd/Moved-Payment-in-ADA/369273-48088,https://cardano.ideascale.com/a/dtd/Payment-in-ADA-at-Local-Stores/369264-48088
26118,369180-48088,Community Bond - CRM for SME's,https://cardano.ideascale.com/a/dtd/Community-Bond-CRM-for-SME-s/369180-48088,Connecting all things local. Empowering local businesses & communities to increase loyalty on a digital platform using virtual coins.
26118,369133-48088,DisCO of Urgency,https://cardano.ideascale.com/a/dtd/DisCO-of-Urgency/369133-48088,Cardano Community is limited to male-dominated tech sphere / Potential adopters outside tech sphere don't know how to engage with Cardano
26118,368843-48088,YouTube Giveaway Scammers,https://cardano.ideascale.com/a/dtd/YouTube-Giveaway-Scammers/368843-48088,I was hacked days before my Mother's funeral. What I do is for my son's. They attacked my legacy. YouTube scammers have to be stopped.
26118,368772-48088,Engage African students on campus,https://cardano.ideascale.com/a/dtd/Engage-African-students-on-campus/368772-48088,African students  are creative.  They could fuel new smart-contract solutions but they don't know about the Cardano ecosystem.
26118,368729-48088,"Cardano Canvas, Cards & Calculator",https://cardano.ideascale.com/a/dtd/Cardano-Canvas-Cards-Calculator/368729-48088,Hubs needing to run events to develop local Cardano knowledge lack frameworks and tools based on shared global patterns and language.
26118,368427-48088,Scale up Cardano by JPN Publication,https://cardano.ideascale.com/a/dtd/Scale-up-Cardano-by-JPN-Publication/368427-48088,Japanese ADA holder have largest class ADA. However only 10% members contribute community and less than 5% member attend Catalyst Voting.
26118,368385-48088,Coding Challenges,https://cardano.ideascale.com/a/dtd/Coding-Challenges/368385-48088,Getting a buzz going can be a challenge. Advertising may not create community hubs.
26118,368369-48088,SalmonNation Decentralized Alliance,https://cardano.ideascale.com/a/dtd/SalmonNation-Decentralized-Alliance/368369-48088,"There is a need to educate, train, and connect entrepreneurs, change-makers, and developers in the Salmon Nation bio-region."
26118,368322-48088,Interactive Cardano Ecosystem Map,https://cardano.ideascale.com/a/dtd/Interactive-Cardano-Ecosystem-Map/368322-48088,"Information about Cardano, how to use it, and the project/tools built on it, is fragmented, unorganized and often delivered with bias."
26118,367949-48088,Add multilanguage to CNFTHub.io,https://cardano.ideascale.com/a/dtd/Add-multilanguage-to-CNFTHub-io/367949-48088,There isnt enough community information being provided in languages other than English
26118,367936-48088,Cardano in South L.A.,https://cardano.ideascale.com/a/dtd/Cardano-in-South-L-A/367936-48088,The population of Catalyst lacks diversity and thus is in danger of adopting a dominant world view that oppresses underrepresented folks.
26118,367891-48088,Homeless Hub,https://cardano.ideascale.com/a/dtd/Homeless-Hub/367891-48088,"Homeless people have a unique culture, with much to share on key issues like value / contribution; but Cardano hasn't yet engaged with them."
26118,367854-48088,Influencing Policy for Adoption,https://cardano.ideascale.com/a/dtd/Influencing-Policy-for-Adoption/367854-48088,Governments' and policy makers lack of use-case understanding of blockchain technology results in Country adoption friction
26118,367529-48088,No-Code Hackathons,https://cardano.ideascale.com/a/dtd/No-Code-Hackathons/367529-48088,Underutilization of the amazing  creativity and energy of the community do to a totally unnecessary digital divide
26118,367405-48088,Stop giveaway scammers,https://cardano.ideascale.com/a/dtd/Stop-giveaway-scammers/367405-48088,"A lot of people get scammed on youtube as also Charles mentioned in his recent video. For example

https://tinyurl.com/cardano-forum-example"
26118,367293-48088,Cardano Hub Buenos Aires,https://cardano.ideascale.com/a/dtd/Cardano-Hub-Buenos-Aires/367293-48088,There is no visible Cardano community in Buenos Aires. Argentina suffers from inflation. People lack awareness of Cardano as an option.
26118,367080-48088,Exhibit Largest BlockChainEXPO(JP),https://cardano.ideascale.com/a/dtd/Exhibit-Largest-BlockChainEXPO-JP/367080-48088,"Only few JP companies recognize Cardano as main BLOCKCHAIN!  At present, it is difficult to adopt CARDANO into the real business world."
26118,366922-48088,Translator Collaboration Platform,https://cardano.ideascale.com/a/dtd/Translator-Collaboration-Platform/366922-48088,"We have already many translator-hubs, but rugularly they organize themself and dont collaborate with other hubs, project or Proposers."
26118,366867-48088,Alexa Skill for Cardano news feeds,https://cardano.ideascale.com/a/dtd/Alexa-Skill-for-Cardano-news-feeds/366867-48088,"2 Cardano Skills for Smartspeaker.

Increase visibility of Cardano in English speaking countries (US, CA, UK, AU, NZ, IN) with news skill."
