campaign_id,project_id,project_title,project_url,project_context
26114,370055-48088,Endangered Language Preservation,https://cardano.ideascale.com/a/dtd/Endangered-Language-Preservation/370055-48088,"Language is a cultural artifact, it is one's identity, and languages face extinction if not preserved."
26114,370046-48088,The Roadmap Revisited,https://cardano.ideascale.com/a/dtd/The-Roadmap-Revisited/370046-48088,"CF must establish global partnerships with the UN, World Bank, establish 130 Local Community Centers with $30K, and engage with Catalyst."
26114,370038-48088,Involve more gov. & UN officials,https://cardano.ideascale.com/a/dtd/Involve-more-gov-UN-officials/370038-48088,Governments & UN official have too few occasions to hear about Cardano.  How can we convince them that the millennium goals can be solved ?
26114,370008-48088,WITHDRAW PLEASE,https://cardano.ideascale.com/a/dtd/WITHDRAW-PLEASE/370008-48088,-
26114,369887-48088,WITHDRAW PLEASE,https://cardano.ideascale.com/a/dtd/WITHDRAW-PLEASE/369887-48088,-
26114,369582-48088,Research dApp,https://cardano.ideascale.com/a/dtd/Research-dApp/369582-48088,"Crypto is seen as merely a speculative vehicle, and its potential for research purposes and policy impact assessment has not been showcased."
26114,369294-48088,Research in Applying Frameworks-AIM,https://cardano.ideascale.com/a/dtd/Research-in-Applying-Frameworks-AIM/369294-48088,How exactly Cardano can enter into global partnerships must be better understood. Without data decision making is difficult/near impossible.
26114,369089-48088,Tokenised crypto events (ICWT),https://cardano.ideascale.com/a/dtd/Tokenised-crypto-events-ICWT/369089-48088,We came to the conclusion that most of the events related to crypto are very costly and highly overvalued.
26114,368752-48088,Rapid prototyping ...made easy,https://cardano.ideascale.com/a/dtd/Rapid-prototyping-made-easy/368752-48088,"There are no platform that puts the Maker in the front seat around their ideas, or what a product have been used for after it is sold."
26114,368695-48088,[WITHDRAWN],https://cardano.ideascale.com/a/dtd/WITHDRAWN/368695-48088,[WITHDRAWN]
26114,368620-48088,Enabling Education Via Cardano Fund,https://cardano.ideascale.com/a/dtd/Enabling-Education-Via-Cardano-Fund/368620-48088,Good Education is still something a lot of countries lack and its due to various reasons.
26114,368595-48088,Almagua DAO,https://cardano.ideascale.com/a/dtd/Almagua-DAO/368595-48088,"The strategies of the industries to adapt to global warming of 1.5 ° C are the management of water and cooling, but they are not enough."
26114,368544-48088,Cardano Powering Planet Improvement,https://cardano.ideascale.com/a/dtd/Cardano-Powering-Planet-Improvement/368544-48088,"We need to create a partnership of equals, mass adoption will come from a respected crypto-funded NPO/NGO that helps the world improve!"
26114,368059-48088,Partnership for De-Fi Adoption,https://cardano.ideascale.com/a/dtd/Partnership-for-De-Fi-Adoption/368059-48088,Lack of collaboration between government regulators and the Cardano Foundation to drive mass adoption.
26114,367734-48088,WottleNFT: SDGs Driven NFT Auction,https://cardano.ideascale.com/a/dtd/WottleNFT-SDGs-Driven-NFT-Auction/367734-48088,How can Cardano align their values with the UN Sustainable Development Goals?
26114,367569-48088,Add SDG ratings to proposals - AIM,https://cardano.ideascale.com/a/dtd/Add-SDG-ratings-to-proposals-AIM/367569-48088,Partnering with UN Orgs means Cardano should adopt a common international framework & language of goal setting. This is currently absent.
26114,367548-48088,Books for Blocks,https://cardano.ideascale.com/a/dtd/Books-for-Blocks/367548-48088,Find a way to convert independent literature into non-fungible tokens on Cardano MainNet to support the creatives in the community.
